Contrato;Cliente;DataContrato;Produto;Banco;NomeBanco;Moeda;TaxaCambio;Qtd_Prestacao;V_Contrato;T_Pago;T_Cancelado;T_Desconto;Saldo;DataUltPrestacao;QtdPrestAbertas;DataUltParcela;QtdPrestVencer
9.010079305E9;60812;2005-09-02;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;1.160581123625E8;1.15489612071141E8;568500.2913589999;0.0;0.0;2005-11-03;"";2005-11-03;""
9.010079306E9;11588;2006-07-14;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;445807.85248999996;445807.85248999996;0.0;0.0;0.0;2007-02-09;"";2007-02-09;""
9.010079404E9;1832;2004-12-14;CARTA DE CREDITO;753;BANK OF CHINA;USD;3.8423;1;82067.6857;82067.6857;0.0;0.0;0.0;2005-04-18;"";2005-04-18;""
9.010079407E9;59099;2007-05-18;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;1;816969.0375;0.0;0.0;0.0;816969.0375;2007-10-09;1;2007-10-09;""
9.010079505E9;2018;2005-09-09;CARTA DE CREDITO;753;BANK OF CHINA;USD;3.8423;1;69929.86;69929.86;0.0;0.0;0.0;2005-10-20;"";2005-10-20;""
9.010079507E9;38566;2007-05-18;IMPORTACAO;587;BANCO REGIONAL DEL NORTE;EUR;4.331;2;124048.06890000001;0.0;0.0;0.0;124048.06890000001;2007-11-14;2;2007-11-14;""
9.010079605E9;324;2005-09-14;CARTA DE CREDITO;49;SUMITOMO MITSUI BANKING CORPOR;JPY;0.0354;1;1593000.0;1593000.0;0.0;0.0;0.0;2005-10-24;"";2005-10-24;""
9.010079607E9;35411;2007-06-15;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;367355.77108999994;0.0;0.0;0.0;367355.77108999994;2008-03-11;2;2008-03-11;""
9.010079704E9;60812;2004-12-13;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;3.9023231272718E7;3.9023231272718E7;0.0;0.0;0.0;2005-06-13;"";2005-06-13;""
9.010079804E9;60812;2004-12-14;FINANCEIRO;11;BANCA INTESA;USD;3.8423;2;3.8988309376478E7;3.8988309376478E7;0.0;0.0;0.0;2005-06-13;"";2005-06-13;""
9.010079806E9;60812;2006-07-03;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;7.71883649370218E8;7.71883649370218E8;0.0;0.0;0.0;2006-08-02;"";2006-08-02;""
9.010079807E9;60812;2007-05-14;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;5.05572779737718E8;5.05572779737718E8;0.0;0.0;0.0;2007-06-13;"";2007-06-13;""
9.010079904E9;60812;2004-12-14;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;1.9509966636468E7;1.9509966636468E7;0.0;0.0;0.0;2005-06-13;"";2005-06-13;""
9.010079906E9;60812;2006-07-03;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;2.007034050175E7;2.007034050175E7;0.0;0.0;0.0;2007-03-30;"";2007-03-30;""
9.010080004E9;150;2004-12-14;CARTA DE CREDITO;431;BANCA NAZIONALE DEL LAVORO;USD;3.8423;6;760064.420808;760064.420808;0.0;0.0;0.0;2005-04-25;"";2005-04-25;""
9.010080005E9;60812;2005-09-05;FINANCEIRO;209;AMERICAN EXPRESS BANK LTD.;USD;3.8423;2;1.97724758E7;1.97724758E7;0.0;0.0;0.0;2005-10-20;"";2005-10-20;""
9.010080006E9;58933;2006-07-07;IMPORTACAO;23;BANK OF TOKYO-MITSUBISHI UFJ (THE);JPY;0.0354;2;2.24684732082E7;2.24684732082E7;0.0;0.0;0.0;2007-01-11;"";2007-01-11;""
9.010080104E9;937;2004-12-27;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;1.5062887310086E7;1.5062887310086E7;0.0;0.0;0.0;2005-04-26;"";2005-04-26;""
9.010080107E9;429;2007-05-29;CARTA DE CREDITO;416;BANCO DE CREDITO DEL PERU;USD;3.8423;3;653467.6455999999;0.0;0.0;0.0;653467.6455999999;2007-10-25;3;2007-10-25;""
9.010080204E9;9621;2004-12-14;CARTA DE CREDITO;663;WELLS FARGO BANK NA;USD;3.8423;4;1940905.415988;1940905.415988;0.0;0.0;0.0;2005-03-28;"";2005-03-28;""
9.010080207E9;429;2007-05-24;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;3;396150.73574999993;0.0;0.0;0.0;396150.73574999993;2008-01-28;3;2008-01-28;""
9.010080304E9;1631;2004-12-20;CARTA DE CREDITO;521;BANK OF CHINA;USD;3.8423;1;48706.915949999995;48706.915949999995;0.0;0.0;0.0;2005-06-02;"";2005-06-02;""
9.010080307E9;59099;2007-05-18;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;1;917725.6704;0.0;0.0;0.0;917725.6704;2007-10-01;1;2007-10-01;""
9.010080404E9;51;2004-12-30;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;6184537.454864999;6184537.454864999;0.0;0.0;0.0;2005-04-29;"";2005-04-29;""
9.010080406E9;27319;2006-07-27;CARTA DE CREDITO;340;CITIBANK N.A.;USD;3.8423;1;1732908.0384;1732908.0384;0.0;0.0;0.0;2006-09-05;"";2006-09-05;""
9.010080504E9;2037;2004-12-16;CARTA DE CREDITO;738;BANK OF CHINA;USD;3.8423;1;115269.0;115269.0;0.0;0.0;0.0;2005-05-16;"";2005-05-16;""
9.010080505E9;15027;2005-10-03;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;357125.109418;357125.109418;0.0;0.0;0.0;2006-01-31;"";2006-01-31;""
9.010080506E9;27319;2006-09-05;IMPORTACAO;37;CITIBANK N.A.;USD;3.8423;2;1773130.502759;1773130.502759;0.0;0.0;0.0;2007-02-02;"";2007-02-02;""
9.010080604E9;9621;2004-12-16;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;2;491606.91579999996;491606.91579999996;0.0;0.0;0.0;2005-04-04;"";2005-04-04;""
9.010080605E9;60812;2005-09-06;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;7.7125794134312E7;7.6949923533406E7;175870.600906;0.0;0.0;2005-10-11;"";2005-10-11;""
9.010080606E9;27319;2006-08-10;CARTA DE CREDITO;340;CITIBANK N.A.;USD;3.8423;1;1732908.0384;1732908.0384;0.0;0.0;0.0;2006-09-13;"";2006-09-13;""
9.010080704E9;60812;2004-12-17;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;1.9508317675E7;1.9508317675E7;0.0;0.0;0.0;2005-06-15;"";2005-06-15;""
9.010080705E9;60812;2005-09-06;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;7.9260995170819E7;7.9260995170819E7;0.0;0.0;0.0;2006-06-05;"";2006-06-05;""
9.010080706E9;27319;2006-09-13;IMPORTACAO;37;CITIBANK N.A.;USD;3.8423;2;1772786.11741;1772786.11741;0.0;0.0;0.0;2007-02-09;"";2007-02-09;""
9.010080804E9;60812;2004-12-17;FINANCEIRO;427;WESTDEUTSCHE GENOSSENSCHAFTS-ZENTRA;USD;3.8423;2;1.1700379845E7;1.1700379845E7;0.0;0.0;0.0;2005-06-15;"";2005-06-15;""
9.010080805E9;60812;2005-09-06;FINANCEIRO;87;STANDARD CHARTERED BANK;USD;3.8423;2;1.9616820615238E7;1.9616820615238E7;0.0;0.0;0.0;2006-03-06;"";2006-03-06;""
9.010080904E9;60812;2004-12-17;FINANCEIRO;118;ING - INTL NETHERLAND BANK;USD;3.8423;2;3.119332832E7;3.119332832E7;0.0;0.0;0.0;2005-06-15;"";2005-06-15;""
9.010080905E9;60812;2005-09-06;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;9814447.252533;9814447.252533;0.0;0.0;0.0;2006-03-06;"";2006-03-06;""
9.010080906E9;791;2006-07-13;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;2025709.971978;2025709.971978;0.0;0.0;0.0;2007-07-06;"";2007-07-06;""
9.010080907E9;9242;2007-05-28;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;2;282508.9498;282508.9498;0.0;0.0;0.0;2007-08-10;"";2007-08-10;""
